"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-118","SW-02","","Swat","","","","2026-06-04T11:50:11.042Z","","SW-02","300-500 CE","Gandhara","Swat Five Celestial Musicians","waterdrop","single","Statue","smooth","tapering","no","short","0","3","n","n","SW-02","TRUE","Los Angeles County Museum of Art","n","FALSE","FALSE","https://collections.lacma.org/node/2262795?","","","","","online_collection","",""
"LI-119","SW-03","","Swat","","","","2026-06-04T11:50:11.042Z","","SW-03","0-100 CE","Gandhara","Swat Figura di suonatore","gourd","double","Statue","obtuse","parallel","yes","short","4","2","n","n","SW-03","FALSE","Galleria d’Arte Moderna Torino","ring","FALSE","FALSE","https://www.maotorino.it/en/archivio-catalogo/figura-di-suonatore/","catalogue","","","Besseler & Schneider, 1981, p. 157","online_collection","",""
"LI-120","SW-04","","Swat","","","","2026-06-04T11:50:11.042Z","","SW-04","?","Gandhara","Swat Two Boy Musicians","ovoid","single","Figurine","obtuse","n","no","n","4","4","n","n","SW-04","TRUE","Peshwar Museum","ring","FALSE","FALSE","Khan, 2015, p. 204","","","","","literature","",""
"LI-121","SY-01","","Shouyang","","","","2026-06-04T11:50:11.042Z","","SY-01","550–577 CE","China","Shouyang North Qi Standing Pipa Player","ovoid","single","Figurine","obtuse","n","no","short","2","n","n","n","SY-01","FALSE","National Museum of China","crescent","TRUE","FALSE","https://www.chnmuseum.cn/zp/zpml/kgfjp/202111/t20211111_252114.shtml","online_gallery","","","https://www.flickr.com/photos/101561334@N08/9832735686/in/photostream/","online_collection","",""
"LI-122","TB-01","","Takht-i-Bahi","","","","2026-06-04T11:50:11.042Z","","TB-01","100-200 CE","Gandhara","Takht-i-Bahi Musical Scene 1","waterdrop","single","Relief","obtuse","parallel","no","short","0","2","yes","straight","TB-01","FALSE","Victoria and Albert Museum","n","FALSE","FALSE","https://collections.vam.ac.uk/item/O85641/fragment-relief-unknown/","","","","","online_collection","",""
"LI-113","SH-01","","Sahr-i Bahlol","","","","2026-06-04T11:50:11.041Z","","SH-01","400-600 CE","Gandhara","Yakshi Playing Lute","waterdrop","single","Relief","obtuse","tapering","no","short","2","2","yes","straight","SH-01","FALSE","Victoria and Albert Museum","crescent","FALSE","FALSE","https://collections.vam.ac.uk/item/O24854/sculpture-sculpture-unknown/","","","","","online_collection","",""
"LI-114","SJ-01","","Shengjinkou","","","","2026-06-04T11:50:11.041Z","","SJ-01","900-1000 CE","Tarim_Basin","Shengjinkou Lute","waterdrop","single","Painting","smooth","tapering","no","short","2","n","yes","straight","SJ-01","TRUE","Ethnologisches Museum Berlin","crescent","TRUE","TRUE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 170","","","","","catalogue","",""
"LI-115","SS-01","","Simsim","","","","2026-06-04T11:50:11.041Z","","SS-01","500-600 CE","Tarim_Basin","Simsim 48 Lute","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","SS-01","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 148","","","","","catalogue","",""
"LI-116","ST-01","","Shotorak","","","","2026-06-04T11:50:11.041Z","","ST-01","100-300 CE","Tarim_Basin","Shotorak Lute Player","gourd","double","Relief","obtuse","parallel","yes","short","0","n","yes","straight","ST-01","TRUE","?","n","FALSE","FALSE","Tissot, 2006, p. 328","","","","","literature","",""
"LI-117","SW-01","","Swat","","","","2026-06-04T11:50:11.041Z","","SW-01","100-200 CE","Gandhara","Swat Bracket with Two Musicians","ovoid","single","Statue","obtuse","parallel","no","short","4","4","yes","straight","SW-01","TRUE","Cleveland Museum of Art","crescent","FALSE","FALSE","https://www.clevelandart.org/art/1980.15","","","","","online_collection","",""
"LI-108","PJ-01","","Penjikent","","","","2026-06-04T11:50:11.040Z","","PJ-01","500-750 CE","Transoxiana","Penjikent Lute Player","waterdrop","single","Painting","smooth","tapering","no","short","0","n","n","bent_backwards","PJ-01","TRUE","?","n","FALSE","FALSE","Muradova,2017, p. 13","literature","literature","","Belenitski, 1971, p. 38","literature","Azarpay, 1981, p. 60",""
"LI-109","PW-01","","Pawaya","","","","2026-06-04T11:50:11.040Z","","PW-01","400-600 CE","North_India","Pawaya Gupta Lintel","waterdrop","single","Relief","obtuse","parallel","no","short","2","5","yes","straight","PW-01","FALSE","Gujari Mahal Archeological Museum","crescent","FALSE","FALSE","https://www.soundsofangkor.org/english/ancient-music/lute/","","","","","online_gallery","",""
"LI-110","SB-01","","Subasi","","","","2026-06-04T11:50:11.040Z","","SB-01","500-700 CE","Tarim_Basin","Kucha Box Lute Player","waterdrop","single","Vessel","smooth","parallel","no","short","2","5","yes","straight","SB-01","FALSE","Tokyo National Museum","crescent","FALSE","FALSE","https://webarchives.tnm.jp/imgsearch/show/C0055544","","","","","online_collection","",""
"LI-111","SD-01","","Sogd","","","","2026-06-04T11:50:11.040Z","","SD-01","0-100 CE","Transoxiana","Sogdian Lutenist","rectangular","single","Figurine","perpendicular","parallel","no","short","0","2","n","n","SD-01","FALSE","?","n","FALSE","FALSE","The World Society for the Study, 2020a, p. 162","","","","","catalogue","",""
"LI-112","SG-01","","Sugakekumu","","","","2026-06-04T11:50:11.040Z","","SG-01","600-800 CE","Tarim_Basin","Sugakekumu Lute","waterdrop","single","Relief","smooth","tapering","no","short","0","5","yes","straight","SG-01","FALSE","Hotan Prefecture Cultural Relics Management Office","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 192","","","","","catalogue","",""
