Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
GD-03,Lautenspieler 2,? Gandhara,Gandhara,0-300 CE,Relief,rectangular,single,yes,short,parallel,obtuse,straight,yes,2,0,n,FALSE,TRUE,FALSE,GD-03,Staatliche Museen zu Berlin,online_collection,https://recherche.smb.museum/detail/2299854/schmuckfries-fragment-yaksha-eroten-mit-musikinstrument-links-unidentifiziert-rechts-unter-chaitya-bogen,,,,,,
GD-04,Gandhara rilievo con suonatrice di liuto e danzatori,? Gandhara,Gandhara,100-400 CE,Statue,waterdrop,single,no,short,parallel,obtuse,straight,yes,4,2,crescent,FALSE,TRUE,FALSE,GD-04,Museo Delle Civiltà,online_collection,https://www.museodellecivilta.it/collezioni/arti-e-culture-asiatiche/,online_gallery,"https://en.wikipedia.org/wiki/File:Gandhara,_rilievo_con_suonatrice_di_liuto_e_danzatori,_ii-iv_sec.JPG",online_collection,https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ekvm,,
GD-05,British Museum Scene with Musicians,? Gandhara,Gandhara,100-300 CE,Relief,gourd,double,yes,short,parallel,obtuse,straight,yes,5,0,n,FALSE,FALSE,FALSE,GD-05,British Museum,online_collection,https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ekvl,catalogue,"Besseler & Schneider, 1981, p. 140",,,,
GD-06,Sitting Lute Player,? Gandhara,Gandhara,?,Statue,waterdrop,single,no,short,parallel,smooth,straight,yes,4,2,crescent,FALSE,FALSE,FALSE,GD-06,?,literature,"Nawaz, 2025, p. 976",,,,,,
GD-07,Nereus Playing Lute,? Gandhara,Gandhara,0-300 CE,Relief,gourd,double,yes,short,parallel,obtuse,straight,yes,2,4,crescent,FALSE,FALSE,FALSE,GD-07,Shaanxi History Museum,online_gallery,"https://en.wikipedia.org/wiki/File:Nereus_Playing_Lute,_1st-3rd_Cent._AD.jpg",,,,,,
GD-08,Angle Playing Lute,? Gandhara,Gandhara,?,Relief,round,single,no,short,parallel,obtuse,straight,yes,4,2,crescent,FALSE,FALSE,FALSE,GD-08,?,online_gallery,https://art.icity.ly/events/uewjdmd,,,,,,
HD-01,Hadda Banquet Lute Player,Hadda,Gandhara,0-200 CE,Relief,ellipsoid,single,no,short,parallel,obtuse,straight,yes,2,2,crescent,FALSE,TRUE,FALSE,HD-01,?,online_gallery,https://commons.wikimedia.org/wiki/File:Indo-GreekBanquet.JPG#/media/File:Indo-GreekBanquet.JPG,catalogue,"Besseler & Schneider, 1981, p. 145",,,,
HD-02,Hadda Lute Player,Hadda,Gandhara,100-400 CE,Relief,waterdrop,single,no,n,n,n,n,n,4,0,n,FALSE,TRUE,FALSE,HD-02,National Museum of Afghanistan,online_collection,https://haddaarcheodb.com/objet/buste-de-musicien-en-position-d-atlante-1,,,,,,
HD-03,Hadda Lute Player in British Musuem,Hadda,Gandhara,100-300 CE,Relief,waterdrop,single,no,short,parallel,obtuse,straight,n,n,0,n,FALSE,FALSE,FALSE,HD-03,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_1903-0622-1,,,,,,
HD-04,Hadda musicians,Hadda,Gandhara,100-400 CE,Relief,waterdrop,single,yes,short,parallel,obtuse,straight,yes,4,4,n,FALSE,TRUE,FALSE,HD-04,Musée Guimet,online_collection,https://haddaarcheodb.com/objet/presentation-aux-temples-brahmaniques-apsaras,,,,,,
